Provinsi,2013,2014,2015,2016,2017,2018,2019,2020
ACEH,68.30,68.81,69.45,70.00,70.60,71.19,71.90,71.99
SUMATERA UTARA,68.36,68.87,69.51,70.00,70.57,71.18,71.74,71.77
SUMATERA BARAT,68.91,69.36,69.98,70.73,71.24,71.73,72.39,72.38
RIAU,69.91,70.33,70.84,71.20,71.79,72.44,73.00,72.71
JAMBI,67.76,68.24,68.89,69.62,69.99,70.65,71.26,71.29
SUMATERA SELATAN,66.16,66.75,67.46,68.24,68.86,69.39,70.02,70.01
BENGKULU,67.50,68.06,68.59,69.33,69.95,70.64,71.21,71.40
LAMPUNG,65.73,66.42,66.95,67.65,68.25,69.02,69.57,69.69
KEP. BANGKA BELITUNG,67.92,68.27,69.05,69.55,69.99,70.67,71.30,71.47
KEP. RIAU,73.02,73.40,73.75,73.99,74.45,74.84,75.48,75.59
DKI JAKARTA,78.08,78.39,78.99,79.60,80.06,80.47,80.76,80.77
JAWA BARAT,68.25,68.80,69.50,70.05,70.69,71.30,72.03,72.09
JAWA TENGAH,68.02,68.78,69.49,69.98,70.52,71.12,71.73,71.87
DI YOGYAKARTA,76.44,76.81,77.59,78.38,78.89,79.53,79.99,79.97
JAWA TIMUR,67.55,68.14,68.95,69.74,70.27,70.77,71.50,71.71
BANTEN,69.47,69.89,70.27,70.96,71.42,71.95,72.44,72.45
BALI,72.09,72.48,73.27,73.65,74.30,74.77,75.38,75.50
NUSA TENGGARA BARAT,63.76,64.31,65.19,65.81,66.58,67.30,68.14,68.25
NUSA TENGGARA TIMUR,61.68,62.26,62.67,63.13,63.73,64.39,65.23,65.19
KALIMANTAN BARAT,64.30,64.89,65.59,65.88,66.26,66.98,67.65,67.66
KALIMANTAN TENGAH,67.41,67.77,68.53,69.13,69.79,70.42,70.91,71.05
KALIMANTAN SELATAN,67.17,67.63,68.38,69.05,69.65,70.17,70.72,70.91
KALIMANTAN TIMUR,73.21,73.82,74.17,74.59,75.12,75.83,76.61,76.24
KALIMANTAN UTARA,67.99,68.64,68.76,69.20,69.84,70.56,71.15,70.63
SULAWESI UTARA,69.49,69.96,70.39,71.05,71.66,72.20,72.99,72.93
SULAWESI TENGAH,65.79,66.43,66.76,67.47,68.11,68.88,69.50,69.55
SULAWESI SELATAN,67.92,68.49,69.15,69.76,70.34,70.90,71.66,71.93
SULAWESI TENGGARA,67.55,68.07,68.75,69.31,69.86,70.61,71.20,71.45
GORONTALO,64.70,65.17,65.86,66.29,67.01,67.71,68.49,68.68
SULAWESI BARAT,61.53,62.24,62.96,63.60,64.30,65.10,65.73,66.11
MALUKU,66.09,66.74,67.05,67.60,68.19,68.87,69.45,69.49
MALUKU UTARA,64.78,65.18,65.91,66.63,67.20,67.76,68.70,68.49
PAPUA BARAT,60.91,61.28,61.73,62.21,62.99,63.74,64.70,65.09
PAPUA,56.25,56.75,57.25,58.05,59.09,60.06,60.84,60.44
INDONESIA,68.31,68.90,69.55,70.18,70.81,71.39,71.92,71.94
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
